462,Hildesheim,Germany
552,Moscow,Russia
465,[Kenigsberg],Germany
1024,Reggio Calabria,Italy
466,Lemberg,Ukraine
553,Kaliningrad (Koenigsberg),Russia
467,Zagórów,Poland
1091,Baden-Württemberg,Germany
468,Nikolaev,Ukraine
554,Lubavichi,Russia
469,Buxoro,Uzbekistan
1025,Vilnius,Lithuania?
470,Amedi,Iraq
556,Zhovkva,Ukraine
471,Potomac,United States
1311,Bédarrides,France
472,Antwerpen,Belgium
560,Lakewood Township,United States
473,Alcalá de Henares,Spain
1026,Sulzburg,Germany
474,Cambridge,United Kingdom
561,Ukmergė (Vilkomir),Lithuania
565,Halle,Germany
480,La Orotava,Spain
481,Pinsk,Belarus
566,"",Russia
484,Zholkva,Ukraine
489,Jerusalem,Israel
567,Wilmersdorf,Germany
490,"",United States
491,Corydon,United States
568,Warsaw,Po
496,Mishawaka,United States
497,Cincinnati,United States
569,Lubavichi,r
498,Melrose Park,United States
499,Konigsberg,Russia
570,Vilnius,Russia
506,Amsterdam,Netherlands
507,"",Польша
572,Vitebsk,Belarus
508,"",Poland
515,München,Germany
576,Cambridge,United Kingdom
517,Korets ,Ukraine
521,Roma,Italy
579,Jessnitz (Anhalt),Germany
522,Sana'a,Yemen
523,Aden,Yemen
524,Ochakov,Ukraine
525,Grodno,Belarus
582,Boston,United States
527,Brzeg Dolny,Poland
528,Shadov,Lithuania
583,Monreale,Italy
531,Amsterdam,Netherlands
584,Baltimore,United States
532,Augsburg,Germany
585,Piotrków Trybunalski,Poland
537,Leiden,Netherlands
271,Amsterdam,Netherlands
538,Moscow,Russia
540,Kaliningrad (Kenigsberg),Russia
548,Cambridge,United Kingdom
549,Halberstadt,Germany
551,Venice,Italy
688,Roma,Italia
463,Lampertheim,Germany
555,Brno,Czech Republic
476,"",United Kingdom
479,Stamford,United States
557,Mglin,Russia
482,"",Israel
786,Kleve,Germany
483,Paramaribo,Suriname
562,"",Russia
485,Bobruisk ,Belarus
1113,"",France?
563,"",Russia - Poland
493,Sutton,United Kingdom
736,Liguria,Italy
500,Bissingen,Germany
564,Šeduva (Shadov),Lithuania
501,Nürburg,Germany
899,Dublin,Ireland
509,Ramat Gan,Israel
571,Lublin,Poland
516,"",Italy
518,Herat,Afghanistan
573,Uralsk,Kazakhstan
1207,"",United Kingdom
530,Bonsall,United Kingdom
577,Cambridge,United Kingdom
533,Kaliningrad,Russia
1262,New Orleans,United States
539,Berdichev,Ukraine
580,Alexandria,Egypt
541,Bobruisk,Belarus
587,Cluj-Napoca,Romania
550,Lviv (Lemberg),Ukraine
588,Bnei Brak,Israel
738,śląskie,Poland
617,Furth,Germany
618,"",Germany
624,Brooklyn,USA
626,Istanbul,Turkey
1270,Buenos Aires,Argentina
1128,Marzocca,Italy
1272,Basse-Alsace,France
803,Bayern,Germany
900,Wilhermsdorf,Germany
1277,Breisach am Rhein,Germany
1278,Colmar,France
804,Lazio,Italy
1053,Boston,Massachusetts
1281,Ottawa,Canada
1284,"",Italy
901,Hanau,Germany
806,Campania,Italy
1057,Pułtusk,Poland
807,Leiria,Portugal
924,Niederdorla,Germania
933,Tel Aviv,Israel
1287,Ravenna,Italy
927,Ulm,Germany
1058,Pisz,Poland
1290,Sarria,Spain
1291,Tarragona,Spain
939,Škloŭ,Belarus
943,Altdorf,Germany
1293,Mława,Poland
946,Külsheim?,Germany
949,Les Bons Villers,Belgium
1296,Padova,Italië
1312,Sanok,Poland
464,Bnei Brak,Israel
558,Józefów,Poland
477,Konstanz,Germany
689,Sulzbach (Taunus),Germany
486,Kilsby,United Kingdom
574,Góra Kalwaria,Poland
494,Cambridge,United Kingdom
787,Trento,Italy
502,Frankfurt am Main,Germany
575,Stary Poryck,Ukraine
510,Unterschleißheim,Germany
690,New York,United States
519,Hlohovec,Slovakia
578,Genova,Italy
534,Baghdad,Iraq
1208,Houmt Arbah,Tunisia
535,Elk,Poland
589,San Marino,United States
542,Ostrog,Ukraine
692,Brescia,Italia
590,Baden-Baden,Germany
790,Cincinnati,Stati Uniti
591,Beverwijk,Netherlands
693,"",Italia
592,Jerusalem,Israel
593,Johannesburg,South Africa
694,Padova,Italia
596,Pirna,Germany
597,Dmitrovka,Ukraine
598,Casalmaggiore,Italy
791,l,Russia
599,Iași,Romania
600,"",Italy
749,Puglia,Italy
601,Alpen,Germany
1114,"",Spain
603,Dubno,Ukraine
605,Rascov,Moldova
606,Rashkov,Ukraine
792,Haifa,Israel
607,Istanbul (Kushtandina),Turkey
1115,Faro,Portugal
793,Istambul,Turkey
620,Baltimore,USA
625,Seattle,USA
795,Riva,Italy
628,Crakow,Poland
629,Góra Kalwaria (Gur),Poland
630,Gdansk (Danzig),Poland
632,Wroclaw ,Poland
634,Frankfurt,Germany
636,Polling,Germany
638,Rome,Italy
639,"",Czech Republic
641,Kamianets-Podilskyi,Ukraine
643,Kaunas (Kovno),Lithuania
644,Étrechet,France
645,Riva del Garda,Italia
646,Venezia,Italia
647,Thessaloniki,Grecia
648,Mantova,Italia
649,Napoli,Italia
650,Parma,Italia
651,Lugo,Italia
653,Cremona,Italia
1209,Amherst,United States
487,Jerusalem,Israel
